id,from_user_id,taskname,workday,overday,memo,is_active,create_at,update_at
25,2,富士フィルムヘルスケア,2022-03-20 00:00:00,2022-03-23 00:00:00,"ES、適性検査
⇒検査機器のためやりたいこととは若干違う
⇒やるならシステムズの方か
⇒キャンセル",false,2022-03-11 08:37:50.330617,2022-03-20 13:02:23.213166
8,2,TIS,2022-03-13 00:00:00,2022-03-13 00:00:00,エントリー動画,false,2022-03-02 05:59:49.992805,2022-03-15 16:08:13.873847
31,2,Sony デジタルネットワークアプリケーション,2022-03-25 00:00:00,2022-03-27 00:00:00,"自己PR資料(3/23にラフを作る⇒3/25には必ず作成)、プログラミングテスト(3/23、3/24、3/25は勉強、3/25に受ける)
⇒完了!",false,2022-03-15 13:20:37.085673,2022-03-28 05:43:00.960413
20,2,キャノンメディカル,2022-03-20 00:00:00,2022-03-21 00:00:00,"ES
⇒やりたい職種がないためキャンセル",false,2022-03-07 07:35:08.355428,2022-03-20 13:04:35.576856
1,2,日本IBM、ISE,2022-04-02 00:00:00,2022-04-11 00:00:00,"エントリー締め切り⇒間に合わず、、、
4/11に延期",false,2022-03-02 05:41:43.883548,2022-03-16 04:24:29.135278
26,2,シオノギ,2022-03-15 00:00:00,2022-03-17 00:00:00,"データサイエンティスト、ESと研究内容
⇒研究内容であるため厳しいかな、、、
⇒キャンセル",false,2022-03-12 04:47:42.825844,2022-03-16 04:24:40.405479
34,2,アドバンストメディア,2022-03-28 00:00:00,2022-03-28 00:00:00,辞退メールの作成,false,2022-03-24 04:56:44.758322,2022-03-29 01:14:02.15019
28,2,日本IBM,2022-04-06 00:00:00,2022-04-11 00:00:00,ES,true,2022-03-12 05:26:35.849558,2022-03-12 05:26:35.849567
29,2,JMDC,2022-03-22 00:00:00,2022-03-22 00:00:00,エントリーシート,false,2022-03-14 15:39:36.977971,2022-03-21 05:48:27.243587
32,2,TIS,2022-03-20 00:00:00,2022-03-21 00:00:00,エントリーシート,false,2022-03-16 04:23:47.464059,2022-03-21 12:27:47.55841
22,2,富士フィルムメディカルITソリューションズ,2022-03-26 00:00:00,2022-04-15 00:00:00,"ES、会社説明動画あり⇒済(誤字った)
SPI",false,2022-03-09 06:28:08.486078,2022-03-22 11:51:23.670882
38,2,ISE,2022-04-10 00:00:00,2022-04-10 00:00:00,cubic,true,2022-04-08 06:16:28.512541,2022-04-08 06:16:28.512551
35,2,NECソリューション,2022-04-23 00:00:00,2022-05-11 00:00:00,"ESを書く(4/23まで): web会社説明会を見る
そのあとESの添削をしてもらう",true,2022-03-29 01:07:06.392242,2022-03-29 01:07:06.392253
37,2,sony準備,2022-04-07 00:00:00,2022-04-07 00:00:00,最終面接準備,false,2022-04-07 06:19:18.048283,2022-04-08 06:16:05.350775
36,2,ISE,2022-04-03 00:00:00,2022-04-11 00:00:00,ES,false,2022-03-29 03:45:39.480121,2022-04-08 06:16:08.831335
